id,timestamp,hour,day,month,datetime,timezone,source,destination,cab_type,product_id,name,price,distance,surge_multiplier,latitude,longitude,temperature,apparentTemperature,short_summary,long_summary,precipIntensity,precipProbability,humidity,windSpeed,windGust,windGustTime,visibility,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,icon,dewPoint,pressure,windBearing,cloudCover,uvIndex,visibility.1,ozone,sunriseTime,sunsetTime,moonPhase,precipIntensityMax,uvIndexTime,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
42968ecc-d1ee-4c96-8caf-4cd4f9503489,1543687083.0,17,1,12,12-01-2018 17:58,America/New_York,Beacon Hill,Northeastern University,Lyft,lyft_plus,Lyft XL,16.5,2.43,1.0,42.3505,-71.1054,41.89,41.89, Partly Cloudy , Light rain in the morning and overnight. ,0.0,0.0,0.57,2.51,4.03,1543672800,9.953,44.54,1543690800,34.74,1543712400,43.87,1543690800,35.39,1543712400, partly-cloudy-day ,27.66,1022.54,325,0.34,2,9.953,275.8,1543665341,1543698866,0.82,0.0,1543683600,31.31,1543662000,44.54,1543690800,28.1,1543662000,43.87,1543690800
9f07a420-a6da-4c54-b3e7-2207521d6002,1543629777.0,2,1,12,12-01-2018 02:02,America/New_York,Theatre District,North End,Uber,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,26.0,1.57,1.0,42.3644,-71.0661,36.89,34.35, Overcast , Mostly cloudy throughout the day. ,0.0,0.0,0.71,3.41,4.58,1543554000,9.884,42.57,1543600800,31.48,1543658400,40.51,1543611600,27.89,1543658400, cloudy ,28.43,1018.23,303,0.97,0,9.884,290.5,1543578870,1543612473,0.79,0.0004,1543593600,28.64,1543575600,42.57,1543600800,27.2,1543568400,40.51,1543611600
ce5bc6f6-3736-4b32-95b4-40dc74331f7c,1543690685.0,18,1,12,12-01-2018 18:58,America/New_York,Theatre District,Boston University,Uber,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,17.5,2.62,1.0,42.3647,-71.0542,43.64,43.64, Partly Cloudy , Light rain in the morning and overnight. ,0.0,0.0,0.54,2.73,3.36,1543672800,9.88,44.66,1543690800,35.04,1543712400,43.99,1543690800,35.69,1543712400, partly-cloudy-day ,27.9,1022.86,303,0.3,1,9.88,274.8,1543665331,1543698851,0.82,0.0,1543683600,31.71,1543658400,44.66,1543690800,28.06,1543658400,43.99,1543690800
d28db066-119b-48a3-89af-21c32ba3be4c,1543695781.0,20,1,12,12-01-2018 20:23,America/New_York,Financial District,South Station,Uber,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,7.0,0.39,1.0,42.3559,-71.055,43.14,43.14, Mostly Cloudy , Light rain in the morning and overnight. ,0.0,0.0,0.55,1.93,3.7,1543672800,9.661,44.76,1543690800,34.95,1543712400,44.09,1543690800,35.6,1543712400, partly-cloudy-day ,27.88,1022.92,105,0.53,0,9.661,273.3,1543665330,1543698852,0.82,0.0,1543683600,31.57,1543658400,44.76,1543690800,27.88,1543658400,44.09,1543690800
dfb9226e-47fa-4788-9faf-e9f20f261a54,1543685883.0,17,1,12,12-01-2018 17:38,America/New_York,Back Bay,Fenway,Lyft,lyft_line,Shared,5.0,1.44,1.0,42.3505,-71.1054,41.89,41.89, Partly Cloudy , Light rain in the morning and overnight. ,0.0,0.0,0.57,2.51,4.03,1543672800,9.953,44.54,1543690800,34.74,1543712400,43.87,1543690800,35.39,1543712400, partly-cloudy-day ,27.66,1022.54,325,0.34,2,9.953,275.8,1543665341,1543698866,0.82,0.0,1543683600,31.31,1543662000,44.54,1543690800,28.1,1543662000,43.87,1543690800
fd801d78-bf2b-448f-84f9-093768bddd08,1543705684.0,23,1,12,12-01-2018 23:08,America/New_York,Northeastern University,West End,Lyft,lyft_line,Shared,7.0,2.74,1.0,42.3519,-71.0643,37.05,37.05, Partly Cloudy , Light rain in the morning and overnight. ,0.0,0.0,0.74,2.34,2.87,1543672800,9.785,44.76,1543690800,34.83,1543712400,44.09,1543690800,35.48,1543712400, partly-cloudy-night ,29.65,1023.57,133,0.31,0,9.785,271.5,1543665331,1543698855,0.82,0.0,1543683600,31.42,1543658400,44.76,1543690800,27.77,1543658400,44.09,1543690800
34804e34-17fe-4be6-9e9f-2302ce00f738,1543627977.0,1,1,12,12-01-2018 01:32,America/New_York,Boston University,West End,Lyft,lyft_line,Shared,7.0,3.06,1.0,42.3505,-71.1054,37.75,35.66, Overcast , Mostly cloudy throughout the day. ,0.0,0.0,0.66,3.13,3.59,1543597200,9.738,42.05,1543600800,31.31,1543662000,41.38,1543600800,28.1,1543662000, cloudy ,27.49,1017.81,305,1.0,0,9.738,289.9,1543578877,1543612485,0.79,0.0004,1543593600,28.42,1543579200,42.05,1543600800,29.07,1543579200,41.38,1543600800
a40b66a6-65b6-494c-bf3b-803a601d2587,1543625886.0,0,1,12,12-01-2018 00:58,America/New_York,Fenway,Theatre District,Lyft,lyft_line,Shared,7.0,2.72,1.0,42.3503,-71.081,38.72,36.65, Overcast , Mostly cloudy throughout the day. ,0.0,0.0,0.64,3.23,3.53,1543554000,9.725,42.32,1543600800,31.57,1543665600,40.48,1543611600,28.1,1543658400, cloudy ,27.43,1017.51,292,1.0,0,9.725,288.7,1543578871,1543612479,0.79,0.0004,1543593600,28.64,1543579200,42.32,1543600800,29.29,1543579200,40.48,1543611600
6a139b94-aa35-4822-8670-8cb525b2ba60,1543705084.0,22,1,12,12-01-2018 22:58,America/New_York,Northeastern University,Theatre District,Lyft,lyft_lux,Lux Black,22.5,1.99,1.0,42.3398,-71.0892,37.93,37.93, Partly Cloudy , Light rain in the morning and overnight. ,0.0,0.0,0.71,2.29,2.92,1543672800,9.724,44.8,1543690800,34.67,1543712400,44.13,1543690800,35.32,1543712400, partly-cloudy-night ,29.32,1023.38,124,0.43,0,9.724,271.2,1543665335,1543698864,0.82,0.0,1543683600,31.26,1543658400,44.8,1543690800,27.76,1543658400,44.13,1543690800
53097ee9-2d74-44ad-a558-7169008cfcca,1543698183.0,21,1,12,12-01-2018 21:03,America/New_York,Back Bay,Northeastern University,Uber,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,10.5,1.22,1.0,42.2148,-71.033,40.2,38.55, Mostly Cloudy , Light rain in the morning and overnight. ,0.0,0.0,0.65,3.03,3.03,1543672800,9.454,44.11,1543690800,34.58,1543712400,43.44,1543690800,35.23,1543712400, partly-cloudy-night ,29.53,1023.13,99,0.54,0,9.454,271.9,1543665299,1543698873,0.82,0.0,1543683600,30.17,1543662000,44.11,1543690800,25.87,1543662000,43.44,1543690800
